"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Yankees","364","1224","50","177","165","24","10.9 %","21.2 %",".189",".317",".274",".357",".463",".356","130","5.2","46.5","1.9","9.2"
"Nationals","388","1283","51","198","194","16","10.1 %","20.3 %",".205",".327",".284",".359",".489",".362","120","4.0","36.5","3.9","8.3"
"Reds","416","1233","44","167","161","36","8.2 %","20.1 %",".199",".305",".267",".331",".466",".341","106","4.2","12.9","19.0","7.2"
"Rays","363","1307","40","143","135","17","10.7 %","26.5 %",".159",".301",".236",".323",".394",".315","104","5.5","11.6","4.6","6.2"
"Mariners","322","1246","34","155","149","25","9.6 %","20.0 %",".155",".298",".254",".335",".409",".324","112","-4.1","12.3","2.0","5.8"
"Astros","334","1230","42","153","145","16","8.5 %","18.3 %",".164",".309",".275",".344",".439",".339","121","-8.5","20.7","-10.3","5.3"
"Dodgers","426","1228","34","159","146","11","10.2 %","20.7 %",".155",".305",".257",".341",".412",".329","104","-4.1","2.5","10.0","5.2"
"Twins","291","1107","33","133","129","14","11.2 %","21.0 %",".161",".286",".244",".332",".405",".323","105","1.2","7.4","6.0","5.2"
"Cubs","412","1279","36","154","144","15","10.2 %","22.1 %",".161",".297",".246",".333",".406",".321","95","3.9","-3.8","9.7","4.7"
"Phillies","334","1153","33","137","132","16","8.6 %","23.1 %",".166",".310",".255",".323",".420",".321","96","0.3","-6.5","16.2","4.7"
"Tigers","304","1139","33","150","144","11","10.1 %","22.3 %",".168",".300",".249",".329",".417",".324","107","-3.4","5.7","0.8","4.6"
"Diamondbacks","405","1255","39","159","150","37","8.4 %","24.2 %",".167",".317",".256",".324",".424",".324","92","11.8","-1.1","-0.3","3.9"
"Red Sox","302","1175","27","138","132","14","8.8 %","15.9 %",".137",".310",".274",".342",".412",".328","105","-9.0","-1.7","-0.7","3.8"
"Braves","345","1128","31","130","125","21","7.7 %","19.8 %",".147",".304",".260",".326",".408",".317","92","-0.5","-12.1","13.8","3.8"
"Marlins","387","1211","37","139","134","15","6.6 %","20.6 %",".145",".307",".264",".319",".408",".314","92","-1.4","-14.3","11.9","3.7"
"Cardinals","379","1221","35","140","132","17","9.4 %","20.6 %",".167",".305",".259",".334",".425",".328","100","1.0","1.2","-5.5","3.5"
"Brewers","379","1204","53","155","149","28","8.6 %","25.3 %",".214",".287",".242",".312",".457",".329","97","3.8","-1.0","-2.7","3.5"
"Orioles","352","1180","39","138","128","10","7.3 %","22.0 %",".155",".295",".251",".310",".407",".312","97","1.9","-2.5","-5.8","3.2"
"Athletics","318","1180","42","123","116","11","8.5 %","24.0 %",".176",".277",".234",".300",".410",".307","100","1.2","0.9","-11.3","3.0"
"Mets","394","1212","44","156","151","9","9.7 %","19.0 %",".179",".252",".230",".310",".409",".311","93","1.7","-9.7","0.1","2.9"
"Angels","340","1289","31","128","126","18","7.8 %","20.2 %",".125",".281",".239",".306",".364",".293","91","1.6","-12.4","-3.0","2.9"
"Indians","331","1173","33","130","123","12","9.9 %","20.5 %",".155",".285",".243",".323",".399",".315","100","-3.8","-3.8","-9.4","2.7"
"Rockies","365","1205","45","152","145","5","7.0 %","22.9 %",".188",".301",".255",".312",".444",".325","80","-1.6","-32.7","13.0","1.9"
"Rangers","323","1223","47","143","137","25","8.7 %","24.4 %",".176",".251",".215",".292",".391",".298","84","3.5","-18.4","-4.8","1.9"
"White Sox","290","1112","28","121","118","9","6.7 %","21.8 %",".136",".285",".238",".299",".374",".294","85","-3.7","-22.6","-4.1","1.1"
"Giants","400","1236","21","108","100","11","7.6 %","20.5 %",".114",".273",".228",".288",".342",".277","71","0.0","-45.5","16.4","1.0"
"Padres","409","1212","42","122","119","17","7.8 %","24.8 %",".157",".262",".220",".286",".377",".289","78","2.0","-33.0","3.9","0.9"
"Pirates","404","1205","27","118","105","15","9.6 %","19.4 %",".142",".274",".233",".316",".375",".304","86","-6.3","-27.8","-2.3","0.8"
"Blue Jays","359","1213","34","122","114","9","8.1 %","23.0 %",".141",".276",".230",".296",".371",".292","83","-3.7","-27.1","-10.6","0.3"
"Royals","296","1118","28","89","81","19","7.1 %","21.2 %",".122",".249",".213",".275",".335",".269","66","-1.3","-45.4","4.0","-0.4"
