"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Yankees","300","1022","44","148","138","19","11.0 %","21.2 %",".196",".314",".273",".355",".469",".356","131","4.4","40.8","0.6","7.8"
"Nationals","327","1085","43","175","171","12","10.1 %","19.8 %",".207",".333",".290",".364",".497",".366","123","3.7","36.1","2.5","7.4"
"Rays","312","1121","33","124","117","15","10.8 %","26.0 %",".157",".308",".241",".328",".398",".318","107","5.2","14.4","4.1","5.8"
"Reds","354","1031","38","128","124","29","8.0 %","20.5 %",".195",".283",".249",".314",".445",".326","97","3.8","-1.3","17.3","5.0"
"Cubs","351","1074","32","137","129","14","10.1 %","22.0 %",".164",".307",".255",".340",".419",".330","102","4.2","6.4","8.2","5.0"
"Twins","248","957","27","117","114","14","11.7 %","20.1 %",".154",".288",".246",".337",".400",".324","107","1.2","8.9","6.5","4.9"
"Astros","294","1071","37","136","128","13","8.1 %","18.3 %",".165",".310",".276",".343",".441",".339","122","-8.6","18.2","-9.9","4.6"
"Mariners","280","1076","31","131","126","24","9.4 %","20.6 %",".162",".284",".244",".323",".406",".317","108","-3.4","5.9","1.6","4.5"
"Diamondbacks","360","1118","35","148","140","36","8.6 %","23.6 %",".171",".329",".267",".335",".438",".334","99","11.6","9.3","-0.5","4.5"
"Tigers","277","1015","32","132","127","10","10.1 %","22.1 %",".172",".296",".248",".330",".420",".326","109","-3.1","7.8","1.1","4.5"
"Braves","307","1001","29","123","118","18","7.6 %","19.5 %",".152",".311",".267",".330",".420",".324","97","-0.7","-4.8","13.2","4.1"
"Phillies","287","978","29","123","118","12","8.3 %","23.6 %",".173",".306",".251",".316",".424",".319","95","0.0","-6.9","15.0","4.0"
"Dodgers","367","1100","29","129","118","9","9.9 %","20.7 %",".151",".294",".248",".330",".399",".318","98","-4.4","-7.4","8.6","3.7"
"Brewers","334","1051","47","143","138","25","8.8 %","25.4 %",".220",".288",".243",".314",".462",".332","99","4.1","3.0","-3.8","3.3"
"Indians","290","1032","30","123","117","12","10.3 %","20.5 %",".159",".288",".247",".328",".406",".320","105","-2.9","2.6","-9.0","3.0"
"Angels","287","1102","26","112","110","16","8.1 %","20.5 %",".125",".286",".242",".311",".367",".296","94","1.7","-6.0","-3.5","2.9"
"Mets","320","1059","42","133","129","9","9.4 %","19.5 %",".186",".250",".231",".306",".417",".311","93","2.2","-7.0","-1.0","2.6"
"Marlins","326","1014","29","117","113","11","6.5 %","20.8 %",".137",".305",".260",".312",".397",".306","87","-2.0","-19.0","10.7","2.4"
"Red Sox","261","1000","17","104","99","12","8.5 %","16.5 %",".112",".309",".267",".334",".380",".313","96","-9.3","-14.0","0.7","2.1"
"Rangers","269","1025","40","124","119","22","8.7 %","24.1 %",".177",".256",".220",".297",".397",".302","88","3.8","-9.8","-4.6","2.1"
"Athletics","268","981","33","96","90","9","8.7 %","24.2 %",".167",".271",".228",".297",".395",".300","96","0.9","-3.7","-9.7","2.0"
"Cardinals","293","989","28","106","102","13","9.3 %","21.0 %",".159",".297",".252",".327",".411",".319","95","0.7","-5.4","-7.3","1.9"
"Orioles","296","984","32","110","103","7","7.3 %","23.6 %",".158",".281",".236",".297",".393",".300","90","1.4","-10.4","-5.3","1.8"
"Giants","339","1098","18","100","92","11","7.6 %","20.2 %",".111",".282",".236",".295",".347",".281","75","0.0","-35.9","15.5","1.4"
"Rockies","321","1051","38","132","126","5","7.2 %","23.0 %",".189",".295",".250",".309",".439",".321","78","-0.7","-30.5","10.5","1.3"
"Pirates","339","1028","25","107","95","15","10.2 %","17.9 %",".149",".270",".236",".325",".386",".312","92","-6.2","-17.2","-4.6","1.1"
"Padres","346","1054","38","111","109","16","7.1 %","24.9 %",".162",".261",".221",".282",".383",".288","78","2.3","-27.5","2.9","0.9"
"White Sox","252","956","24","106","103","9","6.9 %","22.6 %",".139",".281",".232",".294",".372",".291","84","-3.2","-20.6","-3.6","0.9"
"Blue Jays","316","1080","28","107","99","9","8.1 %","22.6 %",".133",".284",".235",".301",".369",".293","85","-3.3","-22.0","-9.2","0.6"
"Royals","248","940","26","75","71","14","6.9 %","20.7 %",".127",".246",".214",".274",".341",".271","67","-2.2","-37.4","3.7","-0.2"
